,Ticker,Date,Description,Agency,Amount
152,DNOW,2022-10-16,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HP PN CF331A CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURE HIGH YIELD CARTRIDGE FOR USE WITH HP LASERJET M651 SERIES PRINTERS INCLUDING M651DN,M651N, M651XH SERIES PRINTERS AND ANY OTHER PRI",GENERAL SERVICES ADMINISTRATION (GSA),238.91
153,DNOW,2022-10-16,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. LEXMARK P/N 74C0HKG CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES HIGH YIELD CARTRIDGE FOR USE WITH LEXMARK LASERPRINT CS720 AND CS725 SERIES AND ANY OTHER PRINTER USING LEXMARK P/N 74C0HKG",GENERAL SERVICES ADMINISTRATION (GSA),1277.9
154,DNOW,2022-10-16,"PAD, MOUSE: ITEM NAME PAD, MOUSE OVERALL WIDTH 10.00 INCHES (+/- 1.00 INCH) OVERALL LENGTH 8.00 INCHES (+/- 1.00 INCH) WRIST PAD THICKNESS 1.00 INCH (+ 0.25 / - 0.125 INCH) MOUSE PAD THICKNESS 0.25 INCHES (+ 0.125 / -0.068 INCH) OVERALL COLOR BL",GENERAL SERVICES ADMINISTRATION (GSA),77.25
155,DNOW,2022-10-16,"WRENCH, ADJUSTABLE: IAW AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME) B107.8 - 2003 STAND ALONE STANDARD OR AS CONTAINED IN ASME B107.100-2010. TYPE: I OVERALL LENGTH: 8 INCH HEAD THICKNESS: 17/32 INCH, MAX WRENCHING SZ: 7/8 INCH, MAX EXCEPTIO",GENERAL SERVICES ADMINISTRATION (GSA),214.71
156,DNOW,2022-10-16,"TAPE, MEASURING: MATERIAL: STEEL BLADE, WITH PROTECTIVE MYLAR COATING, YELLOW IN COLOR, BLACK INDICATORS BLADE WIDTH: 1.25 INCH BLADE LENGTH: 25 FEET MEASURING GRADUATIONS: INCH AND FEET SMALLEST GRADUATION 1/16 INCH CASE: PLASTIC WITH RUBBER OV",GENERAL SERVICES ADMINISTRATION (GSA),78.68
157,DNOW,2022-10-16,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD PN W2020A (HP 414A) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HP COLOR LASERJET PRO M454DW, M454DN, MFP M479FDW, MFP M479FDN AND AN",GENERAL SERVICES ADMINISTRATION (GSA),143.68
158,DNOW,2022-10-16,"TRIMMER, PAPER DROP KNIFE-SIZE 5-CAPACITY UP TO 24 X 24 INCHES SH WT 26#",GENERAL SERVICES ADMINISTRATION (GSA),252.71
159,DNOW,2022-10-16,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CE255AG CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HP LASERJET P3015 SERIES PRINTERS AND ALL OTHERS THAT USE HP CARTRIDGE P/N CE",GENERAL SERVICES ADMINISTRATION (GSA),1346.4
160,DNOW,2022-10-16,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CF362X (HP 508X) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURE HIGH YIELD CARTRIDGE FOR USE WITH HP LASERJET PRINTER SERIES M553 (FLOW), MFP M577 AND ANY OTHER PRINTER US",GENERAL SERVICES ADMINISTRATION (GSA),1798.19
161,CDW,2022-10-16,MTY/ISC ICASS/UPS FOR MCAC DEMARK/FY22,DEPARTMENT OF STATE (DOS),12303.0
162,BDSX,2022-10-16,"621 II, MEDICAL LABORATORY TESTING & ANALYSIS SERVICES, FSS CONTRACT AWARD",DEPARTMENT OF VETERANS AFFAIRS (VA),0.0
163,AXP,2022-10-16,COURIER INSTRUMENT TRANSPORTATION SERVICES,DEPARTMENT OF VETERANS AFFAIRS (VA),23689.2
164,AVA,2022-10-16,READAN ELECTRICITY UTILITIES SERVICE,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),8000.0
165,AMT,2022-10-16,RENTAL TOWER SITE,DEPARTMENT OF JUSTICE (DOJ),0.0
166,ABT,2022-10-16,"EMERGENCY REPAIR OF ABBOTT ENSITE VELOCITY MAPPING SYSTEM. NOT TO EXCEED $15,000 WITHOUT CO APPROVAL.",DEPARTMENT OF VETERANS AFFAIRS (VA),15000.0
167,ABT,2022-10-16,SURGICAL IMPLANTS,DEPARTMENT OF VETERANS AFFAIRS (VA),26372.0
168,ABMD,2022-10-16,IMPELLA CP CATHETER,DEPARTMENT OF VETERANS AFFAIRS (VA),125628.15
169,KELYB,2022-10-15,"SCIENTIFIC, OPERATIONS, AND ADMINISTRATIVE RESOURCES (SOAR) TO THE NIH",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),6753903.54
170,KELYB,2022-10-15,"SCIENTIFIC, OPERATIONS, AND ADMINISTRATIVE RESOURCES (SOAR) TO THE NIH",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),5670292.28
171,KELYB,2022-10-15,"SCIENTIFIC, OPERATIONS, AND ADMINISTRATIVE RESOURCES (SOAR) TO THE NIH",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),9838968.29
172,VSAT,2022-10-15,JS VIASAT TO204 US NAVYNAVAIR,DEPARTMENT OF DEFENSE (DOD),237636.0
173,URI,2022-10-15,PORTA POTTIES RENTAL,DEPARTMENT OF VETERANS AFFAIRS (VA),9450.0
174,UPS,2022-10-15,PARCEL DELIVERY SERVICE,DEPARTMENT OF VETERANS AFFAIRS (VA),4220.0
175,UPS,2022-10-15,PARCEL DELIVERY SERVICE,DEPARTMENT OF VETERANS AFFAIRS (VA),4220.0
176,UPS,2022-10-15,BOISE VA REGIONAL OFFICE SMALL PACKAGE DELIVERY SERVICES.,DEPARTMENT OF VETERANS AFFAIRS (VA),3348.0
177,UNF,2022-10-15,"UNIFORM LEASE/CLEANING/REPAIR, MATS, SHOP TOWELS EXERCISE OPT YEAR 3",DEPARTMENT OF VETERANS AFFAIRS (VA),13649.52
178,UNF,2022-10-15,"FUNDING UNIFORM LEASE/CLEANING/REPAIR, MATS, SHOP TOWELS DURING OY4",DEPARTMENT OF VETERANS AFFAIRS (VA),4683.12
179,TISI,2022-10-15,MOVING AND INSTALLATION OF TREADMILLS AND BIKES,DEPARTMENT OF VETERANS AFFAIRS (VA),6600.0
180,TILE,2022-10-15,"ROBINSON-MERHIGE US COURTHOUSE, 701 EAST BROAD STREET, RICHMOND, VA 23219-1833. PURCHASE CARPET TO REPLACE THE EXISTING IN COURTROOM 6100, FOR THE UNITED STATES DISTRICT COURTS, AT THE ROBINSON-MERHIGE US COURTHOUSE.",THE JUDICIAL BRANCH (JUD BRANCH),18753.01
181,T,2022-10-15,GUEST WI-FI LEBANON VAMC,DEPARTMENT OF VETERANS AFFAIRS (VA),53015.28
182,T,2022-10-15,SERVICE AGREEMENT FOR WIRELESS SERVICE USED BY MANAGEMENT AND OTHER STAFF.  DUNS #003548489 TAX ID #742955068 GSA #47QTCA19D00MV BPA #15F06720A0001516,DEPARTMENT OF JUSTICE (DOJ),2984.76
183,SNAP,2022-10-15,THIS CONTRACT IS TO ACQUIRE FUJITSU SCANCARE HARDWARE MAINTENANCE FOR FUJITSU SCANNERS WITH A PERIOD OF PERFORMANCE OF 1 NOVEMBER 2022- 31 OCTOBER 2023.,DEPARTMENT OF HOMELAND SECURITY (DHS),29120.14
184,RWLK,2022-10-15,MYOCYCLE V2 HOME,DEPARTMENT OF VETERANS AFFAIRS (VA),17887.54
185,PKI,2022-10-15,GOLD SERVICE PLAN MAINTENANCE AGREEMENT SERVICES FOR GOVERNMENT OWNED PERKINELMER LABORATORY EQUIPMENT,ENVIRONMENTAL PROTECTION AGENCY (EPA),21168.0
186,OMCL,2022-10-15,MAINTENANCE CONTRACT,DEPARTMENT OF VETERANS AFFAIRS (VA),113704.68
187,ODP,2022-10-15,"TOWEL, PAPER, SINGLE-FOLD, NATURAL, 9-1/",GENERAL SERVICES ADMINISTRATION (GSA),1067.3
188,ODP,2022-10-15,ASPEN COPY PAPER,GENERAL SERVICES ADMINISTRATION (GSA),1880.4
189,ODP,2022-10-15,"RUBBER BAND, STERLING GRADE, SIZE 33 1 L",GENERAL SERVICES ADMINISTRATION (GSA),70.0
190,ODP,2022-10-15,"MARKER,TUBE TYPE",GENERAL SERVICES ADMINISTRATION (GSA),1415.09
191,ODP,2022-10-15,SIGN HOLDER,GENERAL SERVICES ADMINISTRATION (GSA),58.47
192,ODP,2022-10-15,"PEN, RETRACTABLE, RECYCLED, BLACK GEL IN",GENERAL SERVICES ADMINISTRATION (GSA),248.8
193,ODP,2022-10-15,"TRASH BAGS, CLEAR , 10GAL, BOX OF 250",GENERAL SERVICES ADMINISTRATION (GSA),49.62
194,ODP,2022-10-15,TV LED,GENERAL SERVICES ADMINISTRATION (GSA),1578.89
195,ODP,2022-10-15,"SCISSOR/SHEAR, TITANIUM BLADE, NON-STICK",GENERAL SERVICES ADMINISTRATION (GSA),807.41
196,ODP,2022-10-15,DESK,GENERAL SERVICES ADMINISTRATION (GSA),5146.96
197,ODP,2022-10-15,"PEN, RETRACTABLE GEL, BLACK INK, MEDIUM",GENERAL SERVICES ADMINISTRATION (GSA),19.32
198,ODP,2022-10-15,"ENVELOPE, BUBBLE PADDED, 8-1/2"" X 12""",GENERAL SERVICES ADMINISTRATION (GSA),143.43
199,ODP,2022-10-15,"BLOTTER,CALENDAR,2023",GENERAL SERVICES ADMINISTRATION (GSA),368.17
200,ODP,2022-10-15,MEMO BOOK,GENERAL SERVICES ADMINISTRATION (GSA),155.94
201,ODP,2022-10-15,APPOINTMENT BOOK 2023,GENERAL SERVICES ADMINISTRATION (GSA),87.52
202,NVCR,2022-10-15,CONTINUATION OF NOVOCURE RENTAL,DEPARTMENT OF VETERANS AFFAIRS (VA),126000.0
203,MSI,2022-10-15,"DCSC-22-SAS-138- FIRM FIXED PRICE - RADIOS FOR THE US MARSHALS IN THE AMOUNT OF $28,555.02, ACCORDANCE TO PRICE QUOTE 1892344.",DISTRICT OF COLUMBIA COURTS (DC COURTS),28555.02
204,MSFT,2022-10-15,MICROSOFT SERVICE PREMIER SUPPORT RENEWAL,DEPARTMENT OF STATE (DOS),166260.0
205,MLKN,2022-10-15,"GS03F036DA - URGENT ORDER $ 695.45 PN: AER1B22DWZSSG1G1G1BBBK23103 10/07/2022 HERMAN MILLER AERON CHAIR - SIZE B (STANDARD). WHILE ITS ICONIC FORM HAS REMAINED LARGELY UNCHANGED, THE AERON CHAIR HAS BEEN REMASTERED FROM THE CASTERS UP TOMEET THE",GENERAL SERVICES ADMINISTRATION (GSA),4172.7
206,HOLX,2022-10-15,THIN PREP,DEPARTMENT OF VETERANS AFFAIRS (VA),32154.0
207,HOLX,2022-10-15,"HOLOGIC PANTHER CONSUMABLES, SERVICES AND MAINTENANCE OY1",DEPARTMENT OF VETERANS AFFAIRS (VA),204525.04
208,GMS,2022-10-15,"CLEANER,INDUSTRIAL,",GENERAL SERVICES ADMINISTRATION (GSA),799.08
209,FDX,2022-10-15,TRANSPORTATION SERVICES,DEPARTMENT OF JUSTICE (DOJ),10000.0
210,EXPR,2022-10-15,SODIUM OXYBATE,DEPARTMENT OF VETERANS AFFAIRS (VA),24656.85
211,EXPR,2022-10-15,"NEW: CREATE A BPA TO INTERNALLY TRACK FEDERAL EXPRESS PAYMENTS MADE AGAINST DOD CONTRACT HTC711-17-D-C001 IN ACCORDANCE WITH THE GOVERNMENT'S BEST-IN-CLASS MANDATORY SOLUTION - PACKAGE DELIVERY SERVICE MEMO DATED JULY 27, 2017 FOR THE USE OF A G",DEPARTMENT OF TRANSPORTATION (DOT),0.0
212,EW,2022-10-15,HEART VALVE,DEPARTMENT OF VETERANS AFFAIRS (VA),32500.0
213,EW,2022-10-15,HEART VALVE,DEPARTMENT OF VETERANS AFFAIRS (VA),11000.0
214,DUK,2022-10-15,CINCINNATI ELECTRICITY SERVICES,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),425000.0
215,DUK,2022-10-15,CINCINNATI NATURAL GAS SERVICES,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),200000.0
216,DNOW,2022-10-15,PLEASE SEE IPD FOR FURTHER DETAILS,GENERAL SERVICES ADMINISTRATION (GSA),65.88
217,DNOW,2022-10-15,HP 658A MAGENTA ORIGINAL LASERJET TONER,GENERAL SERVICES ADMINISTRATION (GSA),421.0
218,DNOW,2022-10-15,"PLIERS, DIAGONAL CUTTING: IAW AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME) B107.11 AS CONTAINED IN ASME B107.500-2010; THIS DOCUMENT INCORPORATES AND INCLUDES THE REVISIONS OF PRIMARY STANDARD B107.11, B107.13, B107.16, B107.18, B107.19, B107",GENERAL SERVICES ADMINISTRATION (GSA),32.17
219,DNOW,2022-10-15,HEAT SHRINK,GENERAL SERVICES ADMINISTRATION (GSA),105.0
220,DNOW,2022-10-15,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD CO P/N CF258X (HP 58X) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURE HIGH YIELD CARTRIDGE FOR USE WITH HP LASERJET PRO M404 AND M428 SERIES AND ANY OTHER PRINTER USING HP P/N",GENERAL SERVICES ADMINISTRATION (GSA),769.24
221,DNOW,2022-10-15,"CARTRIDGE, TONER: - SEEATTACHED DOCUMENT FOR DETAIL. PN CF450A",GENERAL SERVICES ADMINISTRATION (GSA),859.72
222,DNOW,2022-10-15,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER (DRUM) I.A.W. OKI DATA AMERICAS P/N 44315104 CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD IMAGE DRUM CARTRIDGE FOR USE WITH OKI DATA C610 SERIES DIGITAL COLOR PRINTERS; C610CDN, C6",GENERAL SERVICES ADMINISTRATION (GSA),73.77
223,DNOW,2022-10-15,HP 658A YELLOW ORIGINAL LASERJET TONER C,GENERAL SERVICES ADMINISTRATION (GSA),431.0
224,DNOW,2022-10-15,HP 89A (CF289A) BLACK LASERJET TONER CAR,GENERAL SERVICES ADMINISTRATION (GSA),554.64
225,DNOW,2022-10-15,HP 658A CYAN ORIGINAL LASERJET TONER CAR,GENERAL SERVICES ADMINISTRATION (GSA),421.0
226,DE,2022-10-15,FRONT LOADER,DEPARTMENT OF VETERANS AFFAIRS (VA),112213.48
227,ARAY,2022-10-15,FUNDING FOR  ACCURAY RADIXACT RADIATION THERAPY EQUIPMENT SERVICE MAINTENANCE AND REPAIR,DEPARTMENT OF VETERANS AFFAIRS (VA),279045.0
228,AORT,2022-10-15,HEART VALVE,DEPARTMENT OF VETERANS AFFAIRS (VA),19865.0
229,ABT,2022-10-15,MOD P00013 OY4  BLANKET PURCHASE AGREEMENT FOR CHEMISTRY COST PER REPORTABLE ADD TRAMADOL AND PHENCYCLIDINE (PCP) TO VISN BPA,DEPARTMENT OF VETERANS AFFAIRS (VA),250000.0
230,ABT,2022-10-15,GLUCOMETER LEASE AND REAGENTS,DEPARTMENT OF VETERANS AFFAIRS (VA),0.0
231,ABT,2022-10-15,MITRA CLIP BUNDLES,DEPARTMENT OF VETERANS AFFAIRS (VA),66000.0
232,KELYB,2022-10-14,"SCIENTIFIC, OPERATIONS, AND ADMINISTRATIVE RESOURCES (SOAR) TO THE NIH",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),41786.0
233,UPS,2022-10-14,ST PAUL MN VA REGIONAL OFFICE SMALL PACKAGE DELIVERY SERVICES.,DEPARTMENT OF VETERANS AFFAIRS (VA),4224.0
234,UPS,2022-10-14,SMALL PACKAGE DELIVERY SERVICES FY23,DEPARTMENT OF VETERANS AFFAIRS (VA),4220.0
235,UPS,2022-10-14,DOMESTIC SMALL PACKAGE DELIVERY SERVICE FOR THE VBA CHICAGO REGIONAL OFFICE,DEPARTMENT OF VETERANS AFFAIRS (VA),633.0
236,UNF,2022-10-14,"UNIFORM LEASE/CLEANING/REPAIR, MATS, SHOP TOWELS EXERCISE OPT YEAR 4",DEPARTMENT OF VETERANS AFFAIRS (VA),18815.78
237,TILE,2022-10-14,"ROBINSON-MERHIGE US COURTHOUSE, 701 EAST BROAD STREET, RICHMOND, VA 23219-1833. PURCHASE CARPET TO REPLACE THE EXISTING IN THE 7TH FLOOR RESTRICTED CORRIDOR, FOR THE UNITED STATES MARSHALS SERVICE, AT THE ROBINSON-MERHIGE US COURTHOUSE.",THE JUDICIAL BRANCH (JUD BRANCH),25450.52
238,T,2022-10-14,"THE PURPOSE OF THIS FIRM FIX PRICE (FFP) TASK ORDER IS TO PROCURE 3 IPHONES WITH CASES AND CAR CHARGERS, 3 IPHONE WALL CHARGING BRICKS AND 3 IPHONE LINES OF SERVICE IN SUPPORT OF DR-4673-FL",DEPARTMENT OF HOMELAND SECURITY (DHS),442.11
239,SYK,2022-10-14,AED PROGRAM RENEWAL SERVICES FOR USAO-SDNY IN ACCORDANCE WITH GSA SCHEDULE# 36F79721D0,DEPARTMENT OF JUSTICE (DOJ),0.0
240,OMCL,2022-10-14,OMNICELL CABINET MAINTENANCE,DEPARTMENT OF VETERANS AFFAIRS (VA),267435.38
241,ODP,2022-10-14,"BLOTTER,CALENDAR,2023",GENERAL SERVICES ADMINISTRATION (GSA),98.28
242,ODP,2022-10-14,"REINFORCEMENT,P/S,ECN,CLR",GENERAL SERVICES ADMINISTRATION (GSA),13.52
243,ODP,2022-10-14,"SCHEDULER,ACTIVITY,2023,PK10",GENERAL SERVICES ADMINISTRATION (GSA),162.42
244,ODP,2022-10-14,"LASER LABELS, 1 X 4""",GENERAL SERVICES ADMINISTRATION (GSA),71.58
245,ODP,2022-10-14,"BINDER,VIEW,3 RNG,1/2IN,W",GENERAL SERVICES ADMINISTRATION (GSA),1087.99
246,ODP,2022-10-14,JOURNALS & DIARIES,GENERAL SERVICES ADMINISTRATION (GSA),40.59
247,ODP,2022-10-14,"BAG, PLASTIC, RECYCLED",GENERAL SERVICES ADMINISTRATION (GSA),493.4
248,ODP,2022-10-14,"CLIPBOARD,ALUMNUM,DUAL STORAGE",GENERAL SERVICES ADMINISTRATION (GSA),28.49
249,ODP,2022-10-14,"BLANK MEDIA DISCS, DVD-R, LASER PRINTABL",GENERAL SERVICES ADMINISTRATION (GSA),53.04
250,HNGR,2022-10-14,ARTIFICIAL LIMBS AND REPAIR,DEPARTMENT OF VETERANS AFFAIRS (VA),53939.34
251,GMS,2022-10-14,"CLEANER, INDUSTRIAL, MULTIPURPOSE GMS INDUSTRIAL SUPPLY P/N GMS1108DR VOC COMPLIANT. 55 GALLON DRUM. USE ON MOST HARD SURFACES.",GENERAL SERVICES ADMINISTRATION (GSA),3729.12
252,GMS,2022-10-14,"CLEANER,INDUSTRIAL,",GENERAL SERVICES ADMINISTRATION (GSA),532.72
253,GMS,2022-10-14,"DISPOSABLE GLOVES, POWDER FREE, NONSTERILE; AMBIDEXTROUS; SZ X-LARGE; UIBX/50EA; (LATEX-FREE, NITRILE)",GENERAL SERVICES ADMINISTRATION (GSA),936.25
254,EXPR,2022-10-14,WORLD WIDE FREIGHT DELIVERY SERVICES,DEPARTMENT OF JUSTICE (DOJ),5000.0
255,EXPR,2022-10-14,"FOR STARS EXPRESS, INC. OR-WIF-220180 E-5033",DEPARTMENT OF AGRICULTURE (USDA),79131.24
256,EW,2022-10-14,HEART VALVE,DEPARTMENT OF VETERANS AFFAIRS (VA),32500.0
257,ECL,2022-10-14,"RINSE ADDITIVE, DISHWASHING: LIQUID RINSE ADDATIVE FOR AUTO DISH WASHERS. FOUR (4) EACH ONE GALLON CONTAINERS PER BOX.",GENERAL SERVICES ADMINISTRATION (GSA),336.52
258,ECL,2022-10-14,TRIGGER SPRAY (32 OZ) P/N 92653096 OR EQUAL. 12 PER BOX. COMPATIABLE WITH ECOLAB QUICK FILL UNITS.,GENERAL SERVICES ADMINISTRATION (GSA),32.9
259,ECL,2022-10-14,"CLEANING COMPOUND, HARD SURFACE-FLOOR: ECOLAB INC., OASIS 115XP, P/N 10625. EXTRA STRENGTH, LIQUID, AMMONIATED FLOOR CLEANER FOR QUARRY TILE, CONCRETE & OTHER HARD SURFACES. UNIT OF ISSUE - BX. TWO & ONE-HALF GALLON BOX W/INTE- GRAL PL",GENERAL SERVICES ADMINISTRATION (GSA),192.4
260,ECL,2022-10-14,"RINSE ADDITIVE, DISHWASHING: LIQUID RINSE ADDATIVE FOR AUTO DISH WASHERS. FOUR (4) EACH ONE GALLON CONTAINERS PER BOX.",GENERAL SERVICES ADMINISTRATION (GSA),1261.95
261,ECL,2022-10-14,"RINSE ADDITIVE, DISHWASHING: LIQUID RINSE ADDATIVE FOR AUTO DISH WASHERS. FOUR (4) EACH ONE GALLON CONTAINERS PER BOX.",GENERAL SERVICES ADMINISTRATION (GSA),841.3
262,ECL,2022-10-14,"DETERGENT, GENERAL PURPOSE: LOW PH, CONCENTRATED, D-LIMONENE DEGREASER FOR USE ON ALL METALS AND MOST PAINTED SURFACES. COMPLIES WITH CID A-A-60008. FOR USE WITH QUIK FILL DISPENSING SYSTEM. ONE (1) EACH 2.5 GALLON CONTAINER.",GENERAL SERVICES ADMINISTRATION (GSA),373.4
263,ECL,2022-10-14,"RINSE ADDITIVE, DISHWASHING: LIQUID RINSE ADDATIVE FOR AUTO DISH WASHERS. FOUR (4) EACH ONE GALLON CONTAINERS PER BOX.",GENERAL SERVICES ADMINISTRATION (GSA),1682.6
264,ECL,2022-10-14,"MULTI-SURFACE SANITIZER AND CLEANER: CONCENTRATED GENERAL DISINFECTANT USED TO CLEAN AND DISINFECT FLOORS, WALLS, FINISHED WOODWORK, SINKS AND BATHROOM FIXTURES. EPA REGISTERED AND COMPLIES WITH COMMERCIAL ITEM DESCRIPTION A-A-60009, DISINFECTAN",GENERAL SERVICES ADMINISTRATION (GSA),439.36
265,ECL,2022-10-14,"RINSE ADDITIVE, DISHWASHING: LIQUID RINSE ADDATIVE FOR AUTO DISH WASHERS. FOUR (4) EACH ONE GALLON CONTAINERS PER BOX.",GENERAL SERVICES ADMINISTRATION (GSA),84.13
266,ECL,2022-10-14,"CLEANING COMPOUND, SOLVENT-DETERGENT, LIQUID, LIME-A-WAY P/N 18700. CONCENTRATED LIME SCALE REMOVER CAPABLE OF BEING USED IN MACHINE DISHWASHER MAINTENANCE. DILUTE UP TO THREE (3) OUNCES IN EACH GALLON OF WATER. FOUR (4) EACH ONE (1) GALLON CONT",GENERAL SERVICES ADMINISTRATION (GSA),34.47
267,ECL,2022-10-14,"RINSE ADDITIVE, DISHWASHING: LIQUID RINSE ADDATIVE FOR AUTO DISH WASHERS. FOUR (4) EACH ONE GALLON CONTAINERS PER BOX.",GENERAL SERVICES ADMINISTRATION (GSA),3365.2
268,DNOW,2022-10-14,"(CLI-36) INK, 3/PACK, BLACK; TRI-COLOR",GENERAL SERVICES ADMINISTRATION (GSA),752.4
269,CWK,2022-10-14,"GSA LEASING SUPPORT SERVICES FOR ENVIRONMENTAL PROTECTION AGENCY IN FLAGSTAFF, ARIZONA. LEASING SERVICES MAY INCLUDE A COMBINATION OF THE FOLLOWING: REQUIREMENTS DEVELOPMENT, LEASE ACQUISITION, LEASE AMENDMENT, POST AWARD.",GENERAL SERVICES ADMINISTRATION (GSA),0.0
270,CMCSA,2022-10-14,CABLE AND INTERNET MODEM SERVICE FY 23,DEPARTMENT OF JUSTICE (DOJ),12528.96
271,CEVA,2022-10-14,"TRANSPORT OF NON-FOOD ITEMS FROM MIAMI, FL USA TO PORT AU PRINCE, HAITI",AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),77357.0
272,CDW,2022-10-14,MICROSOFT LICENSES,DEPARTMENT OF STATE (DOS),9037.5
273,CDW,2022-10-14,MICROSOFT LICENSES,DEPARTMENT OF STATE (DOS),4596.16
274,CDW,2022-10-14,MS AZURE LICENSES,DEPARTMENT OF STATE (DOS),1441191.36
275,CDW,2022-10-14,MICROSOFT LICENSES,DEPARTMENT OF STATE (DOS),337812.16
276,CDW,2022-10-14,MS PROJECT,DEPARTMENT OF STATE (DOS),477.4
277,CDW,2022-10-14,MS POWERAPPS LICENSES IRM/OPS/MSO,DEPARTMENT OF STATE (DOS),223.8
278,CDW,2022-10-14,MICROSOFT LICENSES,DEPARTMENT OF STATE (DOS),114161.82
279,CDW,2022-10-14,MICROSOFT LICENSES,DEPARTMENT OF STATE (DOS),7282920.0
280,CDW,2022-10-14,MICROSOFT LICENSES,DEPARTMENT OF STATE (DOS),262.6
281,CDW,2022-10-14,MICROSOFT LICENSES,DEPARTMENT OF STATE (DOS),688.89
282,CDW,2022-10-14,MICROSOFT LICENSES,DEPARTMENT OF STATE (DOS),31.7
283,CDW,2022-10-14,MICROSOFT LICENSES,DEPARTMENT OF STATE (DOS),932.8
284,CCXI,2022-10-14,BPA FOR TAVNEOS,DEPARTMENT OF VETERANS AFFAIRS (VA),0.0
285,CAH,2022-10-14,RADIOPHARMACEUTICAL,DEPARTMENT OF VETERANS AFFAIRS (VA),175000.0
286,BSX,2022-10-14,SURGICAL IMPLANT,DEPARTMENT OF VETERANS AFFAIRS (VA),45119.06
287,BLBD,2022-10-14,STAT LAB COURIER SERVICES,DEPARTMENT OF VETERANS AFFAIRS (VA),1408.0
288,ABT,2022-10-14,MOD P00013 OY4  BLANKET PURCHASE AGREEMENT FOR CHEMISTRY COST PER REPORTABLE ADD TRAMADOL AND PHENCYCLIDINE (PCP) TO VISN BPA,DEPARTMENT OF VETERANS AFFAIRS (VA),250000.0
289,WM,2022-10-13,SAN JOAQUIN VALLEY NATIONAL CEMETERY WASTE MANAGEMENT SERVICES. GILTON,DEPARTMENT OF VETERANS AFFAIRS (VA),5600.0
290,UPS,2022-10-13,PARCEL DELIVERY SERVICE,DEPARTMENT OF VETERANS AFFAIRS (VA),5275.0
291,UPS,2022-10-13,TO PROVIDE UPS SERVICES FOR NCA EQUIPMENT BEING MAILED TO CEMETERIES.  POP: 10/1/2022 TO 9/30/2023.,DEPARTMENT OF VETERANS AFFAIRS (VA),12000.0
292,UNF,2022-10-13,"UNIFORM LEASE/CLEANING/REPAIR, MATS, SHOP TOWELS EXERCISE OPT YEAR 4",DEPARTMENT OF VETERANS AFFAIRS (VA),3597.12
293,T,2022-10-13,THE PURPOSE OF THIS ACTION IS TO REPLACE THE CURRUENT TO 70FA3018D0000002 _70FBR622F00000011 THAT IS IN PLACE FOR 52 EACH IPHONES FOR 3 MONTHS FOR LOCAL HIRE IN SUPPORT OF DR4611LA AS A RESULT OF HURRICANE IDA.,DEPARTMENT OF HOMELAND SECURITY (DHS),7221.24
294,T,2022-10-13,ACTIVATE DATA SERVICE FOR 374 AT&T IPADS BEING USED IN SUPPORT OF DR-4673-FL,DEPARTMENT OF HOMELAND SECURITY (DHS),21370.36
295,T,2022-10-13,ACTIVATE DATA SERVICE FOR 236 AT&T IPADS BEING USED IN SUPPORT OF DR-4673-FL,DEPARTMENT OF HOMELAND SECURITY (DHS),13485.04
296,T,2022-10-13,ACTIVATE DATA SERVICE FOR 319 AT&T IPADS BEING USED IN SUPPORT OF DR-4673-FL,DEPARTMENT OF HOMELAND SECURITY (DHS),18227.66
297,T,2022-10-13,ACTIVATE DATA SERVICE FOR 262 AT&T IPADS BEING USED IN SUPPORT OF DR-4673-FL,DEPARTMENT OF HOMELAND SECURITY (DHS),14970.68
